ID	Phage	INSDC Accession Number	RefSeq accession number	(Proposed) genus	(Proposed) subfamily	Remark
1	Staphylococcus phage 676Z	JX080302.2	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
2	Staphylococcus phage A3R	JX080301.2	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
3	Staphylococcus phage A5W	EU418428.2	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
4	Staphylococcus phage Fi200W	JX080303.2	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
5	Staphylococcus phage G1	AY954969.1	NC_007066.1	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
6	Staphylococcus phage GH15	JQ686190.1	NC_019448.1	Kayvirus	Twortvirinae	
7	Staphylococcus phage IME-SA1	KP687431.1	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
8	Staphylococcus phage IME-SA118	KR902361.1	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
9	Staphylococcus phage IME-SA119	KR908644.1	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
10	Staphylococcus phage IME-SA2	KP687432.1	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
11	Staphylococcus phage ISP	FR852584.1	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
12	Staphylococcus phage JD007	JX878671.1	NC_019726.1	Kayvirus	Twortvirinae	
13	Staphylococcus phage K	KF766114.1	NC_005880.2	Kayvirus	Twortvirinae	
14	Staphylococcus phage MCE-2014	KJ888149.1	NC_025416.1	Kayvirus	Twortvirinae	
15	Staphylococcus phage MSA6	JX080304.2	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
16	Staphylococcus phage P108	KM216423.1	NC_025426.1	Kayvirus	Twortvirinae	
17	Staphylococcus phage P4W	JX080305.2	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
18	Staphylococcus phage phiIPLA-RODI	KP027446.1	NC_028765.1	Kayvirus	Twortvirinae	
19	Staphylococcus phage phiSA012	AB903967.1	NC_023573.1	Kayvirus	Twortvirinae	
20	Staphylococcus phage S25-3	AB853330.1	NC_022920.1 	Kayvirus	Twortvirinae	
21	Staphylococcus phage S25-4	AB853331.1	NC_022918.1	Kayvirus	Twortvirinae	
22	Staphylococcus phage SA5	JX875065.1	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
23	Staphylococcus phage Sb-1	HQ163896.1	NC_023009.1	Kayvirus	Twortvirinae	
24	Staphylococcus phage Staph1N	JX080300.2	-	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
25	Staphylococcus phage Team1	KC012913.1	NC_025417.1	Kayvirus	Twortvirinae	Strain of species Staphylococcus virus G1
26	Staphylococcus phage SA11	JX194239.1	NC_019511.1	Silviavirus	Twortvirinae	
27	Staphylococcus phage vB_SauM_Remus	JX846612.1	NC_022090.1 	Silviavirus	Twortvirinae	Strain of species Staphylococcus virus Remus
28	Staphylococcus phage vB_SauM_Romulus	JX846613.1	NC_020877.1 	Silviavirus	Twortvirinae	Strain of species Staphylococcus virus Remus
29	Staphylococcus phage phiIBB-SEP1	KF021268.1	-	Sep1virus	Twortvirinae	
30	Staphylococcus phage phiIPLA-C1C	KP027447.1	NC_028962.1	Sep1virus	Twortvirinae	
